ID	Barcode	Title	Authors	Condition	Section	Location	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	User
"0804149593"	"9922305658"	"The Start Here Diet: Three Simple Steps That Helped Me Transition from Fat to Slim . . . for Life"	"Reno, Tosca; Billie Fitzpatrick"	"New"	"AUDIOBOOKS"	" "	"1"	"$12.50"	"$2.50"	"$2.50"	"$0.00"	"12-16-2013"	"12-16-2013"	"01-01-0001"	"Unknown"
"0739369946"	"9922305631"	"My Age of Anxiety: Fear, Hope, Dread, and the Search for Peace of Mind"	"Stossel, Scott; (Narrator) Michael Goldstrom"	"New"	"AUDIOBOOKS"	" "	"1"	"$22.50"	"$0.25"	"$0.00"	"$0.00"	"12-16-2013"	"03-27-2014"	"03-14-2014"	"Unknown"
"0062286382"	"9922310600"	"Seven Wonders Book 2: Lost in Babylon"	"Lerangis, Peter; (Narrator) Johnathan McClain"	"New"	"AUDIOBOOKS"	" "	"1"	"$14.00"	"$0.25"	"$0.00"	"$0.00"	"12-17-2013"	"02-22-2014"	"08-19-2014"	"Unknown"
"1452614075"	"9922313030"	"The Book of Immortality: The Science, Belief, and Magic Behind Living Forever"	"Gollner, Adam Leith; (Narrator) Adam Verner"	"New"	"AUDIOBOOKS"	" "	"1"	"$25.00"	"$5.00"	"$5.00"	"$0.00"	"12-17-2013"	"12-17-2013"	"01-01-0001"	"Unknown"
"1478954205"	"9922367327"	"How to Train Your Dragon: How to Break a Dragon's Heart (Book 8)"	"Cowell, Cressida; (Narrator) David Tennant"	"New"	"AUDIOBOOKS"	" "	"1"	"$10.00"	"$2.00"	"$2.00"	"$0.00"	"12-24-2013"	"04-30-2014"	"05-26-2014"	"Unknown"
"1427236232"	"9922368447"	"Quick and Nimble: Lessons from Leading CEOs on How to Create a Culture of Innovation"	"Bryant, Adam; (Narrator) Jeff Gurner"	"New"	"AUDIOBOOKS"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"12-24-2013"	"04-26-2014"	"06-06-2014"	"Unknown"
"1478900687"	"9922368420"	"The Pound a Day Diet: Lose Up to 5 Pounds in 5 Days by Eating the Foods You Love"	"DiSpirito, Rocco; (Foreword) Jeffrey A. Morrison"	"New"	"AUDIOBOOKS"	" "	"1"	"$15.00"	"$0.25"	"$0.00"	"$0.00"	"12-24-2013"	"02-07-2014"	"09-08-2014"	"Unknown"
"161113045X"	"9922368382"	"Private L.A."	"Patterson, James; Mark Sullivan; (Narrator) Jay Snyder"	"New"	"AUDIOBOOKS"	" "	"1"	"$17.50"	"$0.25"	"$0.00"	"$0.00"	"12-24-2013"	"04-08-2014"	"05-27-2014"	"Unknown"
"1478927534"	"9922368358"	"Hidden Fires"	"Brown, Sandra; (Narrator) Kevin T. Collins"	"New"	"AUDIOBOOKS"	" "	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"12-24-2013"	"07-04-2014"	"04-23-2014"	"Unknown"
"1478925248"	"9922369249"	"Love Sense: The Revolutionary New Science of Romantic Relationships"	"Johnson, Sue"	"New"	"AUDIOBOOKS"	" "	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"12-24-2013"	"09-09-2014"	"09-12-2014"	"Unknown"
"1469214067"	"9922373068"	"Hostage (Bishop/Special Crimes Unit)"	"Hooper, Kay; (Narrator) Joyce Bean"	"New"	"AUDIOBOOKS"	" "	"1"	"$15.00"	"$0.25"	"$0.00"	"$0.00"	"12-24-2013"	"12-24-2013"	"01-01-0001"	"Unknown"
