ID	Barcode	Title	Authors	Publisher	Pub Date	Binding	Condition	Section	Location	Item Type Id	On Hand	Price	Cost	Cash	Credit	First In	Last In	Last Sold	Meta Tags	Keywords	User
"0855329025"	"9924863143"	"Laying a Watercolour Wash"	"Halliday, Frank"	"Search Press"	"November 1999"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$6.00"	"$0.00"	"$0.00"	"$0.00"	"09-07-2014"	"09-07-2014"	"01-01-0001"	""	""	"Unknown"
"1408184273"	"9925017262"	"Watercolour Secrets"	"Leman, Jill"	"Bloomsbury Visual Arts"	"August 2014"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$25.00"	"$3.50"	"$3.50"	"$0.00"	"09-20-2014"	"09-20-2014"	"01-01-0001"	""	""	"Unknown"
"1606523376"	"9925303869"	"Watercolor Secrets: 200 Tips and Techniques for Painting the Easy Way"	"Berry, Robin"	"Readers Digest"	"December 2011"	"PaperBack"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$15.00"	"$0.00"	"$0.00"	"$0.00"	"10-15-2014"	"10-15-2014"	"01-01-0001"	""	""	"Unknown"
"0891344942"	"9925412617"	"Learn Watercolor the Edgar Whitney Way"	"Ranson, Ron"	"North Light Books"	"April 1994"	"Hardcover"	"Used - Good"	"ART-TECHNIQUE WATERCOLOR"	" "	"Unknown"	"1"	"$12.50"	"$0.00"	"$0.00"	"$0.00"	"10-26-2014"	"10-26-2014"	"01-01-0001"	""	""	"Unknown"
"1849760888"	"992535031X"	"Tate Watercolor Manual: Lessons from the Great Masters"	"Smibert, Tony; (Author) Joyce H. Townsend"	"Tate Publishing"	"September 2014"	"PaperBack"	"New"	"ART-TECHNIQUE WATERCOLOR"	"2END6"	"Front list"	"5"	"$20.65"	"$11.70"	"$0.00"	"$0.00"	"10-20-2014"	"10-20-2014"	"11-08-2014"	""	""	"Unknown"
"1849941408"	"9924987586"	"Learn Watercolour Quickly"	"Soan, Hazel"	"Batsford"	"August 2014"	"Hardcover"	"New"	"ART-TECHNIQUE WATERCOLOR"	"2TEC1"	"Front list"	"4"	"$13.45"	"$7.03"	"$0.00"	"$0.00"	"09-18-2014"	"09-18-2014"	"10-18-2014"	""	""	"Unknown"
"1592536557"	"9911925269"	"Water Paper Paint: Exploring Creativity with Watercolor and Mixed Media"	"Jones, Heather Smith"	"Quarry Books"	"January 2011"	"PaperBack"	"New"	"ART-TECHNIQUE WATERCOLOR"	"SECTION"	"Front list"	"2"	"$20.69"	"$11.50"	"$0.00"	"$0.00"	"12-31-2010"	"12-31-2010"	"08-11-2014"	""	""	"Unknown"
"1849941408"	"992524532X"	"Learn Watercolour Quickly"	"Soan, Hazel"	"Batsford"	"August 2014"	"Hardcover"	"New"	"ART-TECHNIQUE WATERCOLOR"	"SECTION"	"Front list"	"2"	"$13.45"	"$7.03"	"$0.00"	"$0.00"	"10-10-2014"	"10-10-2014"	"10-24-2014"	""	""	"Unknown"
"1849760888"	"9925557178"	"Tate Watercolor Manual: Lessons from the Great Masters"	"Smibert, Tony; (Author) Joyce H. Townsend"	"Tate Publishing"	"September 2014"	"PaperBack"	"New"	"ART-TECHNIQUE WATERCOLOR"	"SECTION"	"Front list"	"2"	"$20.65"	"$11.70"	"$0.00"	"$0.00"	"11-10-2014"	"11-10-2014"	"01-01-0001"	""	""	"Unknown"
"1592536557"	"9917502939"	"Water Paper Paint: Exploring Creativity with Watercolor and Mixed Media"	"Jones, Heather Smith"	"Quarry Books"	"January 2011"	"PaperBack"	"New"	"ART-TECHNIQUE WATERCOLOR"	"2MEZZ1"	"Front list"	"5"	"$20.69"	"$11.50"	"$0.00"	"$0.00"	"07-26-2012"	"07-26-2012"	"11-10-2014"	""	""	"Unknown"
"0785824391"	"2800785824390"	"Watercolor Tips & Tricks"	"Norman, David"	"CHARTWELL BOOKS INC."	"January 2009"	"Hardcover"	"Used - Very Good"	"ART-TECHNIQUE WATERCOLOR"	"2TEC1"	"Remainder"	"8"	"$9.95"	"$4.50"	"$0.00"	"$0.00"	"04-22-2009"	"04-23-2009"	"11-07-2014"	""	""	"Unknown"
"1600581218"	"9924745760"	"Color Made Easy  /  Watercolor: Learn to Paint Step by Step (How to Draw and Paint Series: Watercolor)"	"Edin, Rose, Fudurich, Barbara, Hansen, Joan, Medway, Geri"	"Walter Foster"	"March 2009"	"PaperBack"	"Used - Very Good"	"ART-TECHNIQUE WATERCOLOR"	"2TEC1"	"Remainder"	"4"	"$4.95"	"$1.79"	"$0.00"	"$0.00"	"08-27-2014"	"08-27-2014"	"10-12-2014"	""	""	"Unknown"
"0785824391"	"991978995X"	"Watercolor Tips & Tricks"	"Norman, David"	"CHARTWELL BOOKS INC."	"January 2009"	"Hardcover"	"Used - Very Good"	"ART-TECHNIQUE WATERCOLOR"	"SECTION"	"Remainder"	"1"	"$9.95"	"$4.50"	"$0.00"	"$0.00"	"03-29-2013"	"03-29-2013"	"11-19-2014"	""	""	"Unknown"
"1560108029"	"9925166608"	"Watercolor Pencil Step by Step"	"Foster, Walter"	"WALTER FOSTER PUBLISHINC INC"	"January 2004"	"PaperBack"	"Used - Very Good"	"ART-TECHNIQUE WATERCOLOR"	"SECTION"	"Remainder"	"1"	"$4.95"	"$1.25"	"$0.00"	"$0.00"	"10-02-2014"	"10-02-2014"	"11-04-2014"	""	""	"Unknown"
"0785824391"	"9925230438"	"Watercolor Tips & Tricks"	"Norman, David"	"CHARTWELL BOOKS INC."	"January 2009"	"Hardcover"	"Used - Very Good"	"ART-TECHNIQUE WATERCOLOR"	"2MEZZ1"	"Remainder"	"4"	"$9.95"	"$0.00"	"$0.00"	"$0.00"	"10-09-2014"	"10-09-2014"	"11-14-2014"	""	""	"Unknown"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
